compound_id	smiles
id_0	N=C(O)NC(O)C(=O)O
id_1	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OC(=O)c2cccc(O)c2O)C(O)C1O
id_2	CC1(O)OCC(O)C1(O)O
id_3	CC1(O)OCC(O)C1=O
id_4	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(O)CCC(=O)O
id_5	CC(C)(O)C(O)C(=O)O
id_6	CCC(C)(O)C(O)C(=O)O
id_7	N=C(N)N=C(O)c1nc(Cl)c(N2CCCCCC2)nc1N
id_8	O=C(O)C(O)CO
id_9	CC(C)(CO)C(O)C(=O)O
id_10	CC(C)(CO)C(O)C(O)=NCCC(=O)O
id_11	CC(O)CO
id_12	CC(O)C(=O)SCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O
id_13	CCC(O)(C(C)=O)C(=O)O
id_14	CC(=O)C(C)(O)C(=O)O
id_15	Nc1c(C(O)=NC(CC(=O)O)C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O
id_16	CC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_17	CCCCCCCC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_18	CCCCCCCCCC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_19	CCCCCCCCCCCCCC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_20	CCCC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_21	CCCCCCCCCCCCCCCC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_22	CCCCCC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_23	CCCCCCCCCCCC(O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_24	CCC(C)C(=O)C(=O)O
id_25	O=C(O)C1CC(O)=NC(O)=N1
id_26	CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_27	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
id_28	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC
id_29	CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCCCCCCC
id_30	O=C(O)c1cc(O)c2ccccc2c1O
id_31	NCCCCCN
id_32	CC(O)=NC1COC(CO)C(O)C1OC(C)C(O)=NC(C)C(O)=NC(CCC(=O)O)C(O)=NC(CCCC(N)C(=O)O)C(O)=NC(C)C(=O)O
id_33	CC(O)=NC1COC(CO)C(O)C1OC(C)C(O)=NC(C)C(O)=NC(CCC(=O)O)C(O)=NC(CCCC(N)C(=O)O)C(=O)O
id_34	O=C(O)c1ccccc1NCC(=O)C(O)C(O)COP(=O)(O)O
id_35	NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N=CNC1OC(COP(=O)(O)O)C(O)C1O
id_36	N=c1c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2ncn1C1OC(COP(=O)(O)O)C(O)C1O
id_37	N=c1c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3O)c2ncn1C1OC(COP(=O)(O)O)C(O)C1O
id_38	O=C(O)C1CCC=N1
id_39	CC(=O)C(O)C(O)COP(=O)(O)O
id_40	CCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)O
id_41	CC(=CCOP(=O)(O)OP(=O)(O)O)CO
id_42	CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)O
id_43	CCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)O
id_44	N=c1nc(O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
id_45	O=C(O)C(CO)OC1OC(COP(=O)(O)O)C(O)C(O)C1O
id_46	CCCCCCCCCCCC(O)CC(=O)OC1C(O)C(COC2OC(CO)C(OP(=O)(O)O)C(OC(=O)CC(O)CCCCCCCCCCC)C2N=C(O)CC(O)CCCCCCCCCCC)OC(OP(=O)(O)O)C1N=C(O)CC(O)CCCCCCCCCCC
id_47	O=C(O)C1=NC(C(=O)O)CCC1
id_48	CCCCCCCCCCCC(O)CC(=O)OC1C(O)C(CO)OC(OP(=O)(O)O)C1N=C(O)CC(O)CCCCCCCCCCC
id_49	O=C(O)C1=CC=CC(O)C1O
id_50	O=C(O)C1=NC(C(=O)O)CC=C1
id_51	O=C(O)c1cccc(O)c1O
id_52	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)C=CCCC(=O)O
id_53	NCC(N)C(=O)O
